Price,Date,Close,High,Low,Open,Volume
Ticker,,GOOG,GOOG,GOOG,GOOG,GOOG
0,2004-08-19,2.482146978378296,2.5741690854691477,2.3737974059468163,2.4737354365031994,897427216
1,2004-08-20,2.6793038845062256,2.69835145121199,2.486105039135891,2.498720695465192,458857488
2,2004-08-23,2.7062673568725586,2.8071956851926068,2.6976095442822885,2.739662757884353,366857939
3,2004-08-24,2.5942068099975586,2.7606886484298014,2.5620479729353023,2.751783619774701,306396159
4,2004-08-25,2.622159957885742,2.67163537106293,2.569716753992065,2.596433027191337,184645512
5,2004-08-26,2.6694085597991943,2.670397902318206,2.589011811430422,2.596185610284768,142572401
6,2004-08-27,2.6258704662323,2.6869721902826527,2.614491370351092,2.674108370316558,124826132
7,2004-08-30,2.523458480834961,2.6095445475612125,2.523458480834961,2.604348959733559,104429967
8,2004-08-31,2.5323634147644043,2.5655113601953596,2.527168774813275,2.53063218384483,98825037
9,2004-09-01,2.4799203872680664,2.5472058621285667,2.4655725524949648,2.5405267344097617,183633734
10,2004-09-02,2.5110890865325928,2.532363502296871,2.4475140036586374,2.453698696685634,303810504
11,2004-09-03,2.473982810974121,2.516779096323428,2.4569146401122635,2.4972368588240657,103538639
12,2004-09-07,2.5128209590911865,2.5232109494623485,2.4640886198607466,2.4987205792420353,117506800
13,2004-09-08,2.5306320190429688,2.5486904778803106,2.486104743747406,2.4920410349656343,100186120
14,2004-09-09,2.530879259109497,2.5407736304248005,2.4984732039479374,2.5363211159732963,81620792
15,2004-09-10,2.605586528778076,2.6360134319559174,2.5058947493740007,2.5133160030266786,174804764
16,2004-09-13,2.6592659950256348,2.6817769706690457,2.633539064233975,2.6377443618908307,157628624
17,2004-09-14,2.7579681873321533,2.7705838413547026,2.64170175533374,2.6580289823187755,217608605
18,2004-09-15,2.7705841064453125,2.825748590308446,2.7260568297405574,2.734962806037314,215279909
19,2004-09-16,2.8193166255950928,2.8645857936475405,2.7619264727483204,2.7789946436313597,186207345
20,2004-09-17,2.906392812728882,2.906392812728882,2.808926945396902,2.83044857887593,190350817
21,2004-09-20,2.952651023864746,3.0080627243231803,2.888581511607534,2.8930340261103624,213585582
22,2004-09-21,2.915050745010376,2.978873049177405,2.9068876032573834,2.9637833254786354,145262446
23,2004-09-22,2.92840838432312,2.9603200110260954,2.8895711226448038,2.904166412327169,152344894
24,2004-09-23,2.9887681007385254,3.033542596530334,2.8947654104255016,2.9397883074278135,171524515
25,2004-09-24,2.964277982711792,3.0699060481025486,2.962546751630271,2.9917359091319455,183336625
26,2004-09-27,2.925440788269043,2.9902521993536904,2.9140616909823827,2.957598684569462,141994242
27,2004-09-28,3.1381819248199463,3.1515394706437023,2.973678736167928,3.0006422290558294,340190355
28,2004-09-29,3.2425732612609863,3.340038176058223,3.1225971348960693,3.1342236849067096,613229953
29,2004-09-30,3.2059614658355713,3.2727524974391238,3.191118961746318,3.2133827178801977,276468402
30,2004-10-01,3.279679298400879,3.3207431678070662,3.1886451093448342,3.2356464543813996,303934969
31,2004-10-04,3.3410277366638184,3.3858024750812605,3.3155482574179977,3.3457286532250454,261693228
32,2004-10-05,3.422908306121826,3.4268661499067377,3.2712689465478793,3.3311334057782203,300887589
33,2004-10-06,3.3909974098205566,3.424887481038022,3.3642813739976916,3.4026239599868973,268900140
34,2004-10-07,3.434781789779663,3.4602615022259124,3.3778860732977267,3.387039503884894,283643194
35,2004-10-08,3.407076358795166,3.4553142623618966,3.3895125703353948,3.431566728393868,222442656
36,2004-10-11,3.345975637435913,3.435030436765829,3.311095511487649,3.3890181945034428,210437827
37,2004-10-12,3.3989131450653076,3.4041075480123353,3.299963273536198,3.3256902022460717,234419380
38,2004-10-13,3.4854941368103027,3.5510486197214153,3.465210009305071,3.545358360744638,397203256
39,2004-10-14,3.512704372406006,3.5221050199566886,3.427608845990587,3.488214950278395,209835578
40,2004-10-15,3.5649003982543945,3.5992860867560226,3.5114678547994336,3.585185470458315,265150137
41,2004-10-18,3.6898245811462402,3.690813686842118,3.4931623319097453,3.542389580125926,282061287
42,2004-10-19,3.6596450805664062,3.7699740532390345,3.6450500294188326,3.7229727079461257,363918964
43,2004-10-20,3.475351095199585,3.685619039380208,3.4533347925944162,3.6618705587319433,456613107
44,2004-10-21,3.6952664852142334,3.7138193803894466,3.5033049127849436,3.572074399305695,585767401
45,2004-10-22,4.265463352203369,4.456930255189292,4.058905779076126,4.218709459188641,1481207196
46,2004-10-25,4.635781764984131,4.809685853164681,4.268431584449288,4.363670853414978,1315480331
47,2004-10-26,4.497252464294434,4.765405502464263,4.452724944895615,4.609560131760898,895628499
48,2004-10-27,4.600407123565674,4.6882241762866075,4.496510058381364,4.520010376422338,536262538
49,2004-10-28,4.781732082366943,4.808695339323602,4.591254500500073,4.617970540199053,596097978
50,2004-10-29,4.715930461883545,4.946234618620137,4.714940645791889,4.920013016923128,849672890
51,2004-11-01,4.849264144897461,4.889833342056488,4.731514870408718,4.7879159147325225,490828877
52,2004-11-02,4.8205695152282715,4.928918854486746,4.782721601091633,4.917292541306152,455553149
53,2004-11-03,4.741409778594971,4.987051838647795,4.718651584519736,4.902450499387303,557630330
54,2004-11-04,4.5689897537231445,4.709993069876743,4.535594592904901,4.6615077140737915,578544429
55,2004-11-05,4.189271450042725,4.509620445521412,4.1694822327598065,4.501704758608245,796297573
56,2004-11-08,4.268431186676025,4.339923383247866,4.190508500126626,4.228357839389887,449349985
57,2004-11-09,4.173192501068115,4.333985028059484,4.088343012870946,4.306774087035502,444226854
58,2004-11-10,4.1524128913879395,4.267689048787951,4.114564977224857,4.221924974090858,427355853
